round,client_11_removal_criterion,client_6_removal_criterion,client_23_removal_criterion,client_24_removal_criterion,client_9_removal_criterion,client_44_removal_criterion,client_37_removal_criterion,client_31_removal_criterion,client_47_removal_criterion,client_2_removal_criterion,client_42_removal_criterion,client_36_removal_criterion,client_43_removal_criterion,client_7_removal_criterion,client_5_removal_criterion,client_25_removal_criterion,client_12_removal_criterion,client_14_removal_criterion,client_45_removal_criterion,client_21_removal_criterion,client_26_removal_criterion,client_1_removal_criterion,client_8_removal_criterion,client_27_removal_criterion,client_29_removal_criterion,client_48_removal_criterion,client_13_removal_criterion,client_32_removal_criterion,client_0_removal_criterion,client_17_removal_criterion,client_16_removal_criterion,client_15_removal_criterion,client_18_removal_criterion,client_39_removal_criterion,client_46_removal_criterion,client_20_removal_criterion,client_34_removal_criterion,client_33_removal_criterion,client_41_removal_criterion,client_35_removal_criterion,client_10_removal_criterion,client_22_removal_criterion,client_49_removal_criterion,client_28_removal_criterion,client_38_removal_criterion,client_40_removal_criterion,client_4_removal_criterion,client_30_removal_criterion,client_3_removal_criterion
11,0.7828192472457886,1.4150716006755828,1.8743436932563782,1.505231934785843,0.9743168294429778,0.8350930631160736,0.41481408476829523,1.4856612503528595,1.0338436245918272,1.2438749849796296,0.7579948544502259,0.5230103313922881,0.8998886466026307,1.219734525680542,0.42806920409202576,0.5455444276332856,0.9895484864711761,0.6080478310585022,0.7281819164752961,1.5581562638282775,1.3418310403823852,6.796860599517822,0.8604129135608674,1.3937754094600676,0.6073246419429779,0.9754501461982727,0.8098436236381531,1.4917539298534392,6.108555614948272,0.9153420627117156,0.5888677358627319,0.8259864509105682,0.6132171034812928,0.8870881080627441,1.0900751888751983,1.708178037405014,1.7052546918392182,1.3731411218643188,0.32825714349746704,1.0940914154052734,0.9003229796886444,1.8610614657402038,1.1717292547225953,1.819383692741394,0.7845666706562042,0.3434272170066833,0.8234422862529754,1.4512447834014892,1.640026646852493
12,0.7850855946540832,1.6650050401687622,2.1652199745178224,1.550389325618744,0.9402786433696747,1.1021293580532074,0.5855049073696136,1.687163484096527,1.24202139377594,1.514130800962448,1.1254814386367797,0.7675032079219818,0.8959398567676544,1.556824630498886,0.5364600121974945,0.5985106468200683,1.2111120164394378,0.6797792553901673,0.837266492843628,1.764832329750061,1.6103053629398345,7.396860653162002,1.0100623726844786,1.4279933869838715,0.717539095878601,1.0147823572158812,1.0127404570579528,1.663597047328949,6.22577195763588,1.0903857588768004,0.7154918372631073,0.8379854083061218,0.6819743692874908,0.9343643724918366,1.3369941353797912,1.8501849353313446,1.965784239768982,1.5201706290245056,0.2999308168888092,1.2638862311840056,0.9466637253761291,2.055272006988525,1.4788446843624115,2.1499580800533296,1.0779427349567412,0.531083756685257,0.9598166942596436,1.5543198108673095,1.9557447552680969
13,0.9293388247489929,2.176579535007477,2.5670744657516478,2.019523501396179,1.4742508053779604,1.2827343821525574,0.7690176367759705,1.9270454287528993,1.3502810716629028,1.8387990593910217,1.436951684951782,0.9576552271842956,1.0814249634742739,1.6271450281143187,0.8901666879653931,0.762080454826355,1.2866747140884398,0.8787803649902343,0.7999553561210632,2.058326840400696,1.734339189529419,7.996860897541046,1.2830332159996032,1.691416299343109,0.6481004238128661,1.339567768573761,1.154477524757385,2.093733048439026,6.4109757065773,1.3470668911933898,0.8566462278366088,1.074250841140747,0.8783511519432067,1.2718730568885803,1.4921206474304198,2.0429693937301634,2.4898796439170834,1.7033992409706116,0.5633181810379028,1.579763662815094,1.1522168636322019,2.433910405635834,1.7000314474105835,2.3399721145629884,1.3405681729316712,0.6557542085647582,1.2172332167625428,1.8525538682937621,2.258501923084259
14,1.0411684632301332,2.3004220962524413,2.75281765460968,2.301470983028412,1.3829954266548157,1.4772697687149048,0.997743821144104,2.2148570179939266,1.5937284469604491,1.9418556332588195,1.4844848871231078,1.2022885918617248,1.1425208210945128,1.8347257256507874,0.8499016523361206,0.9202041387557983,1.5892778515815735,1.1257848978042602,0.9098309159278869,2.161909198760986,1.8715843081474304,8.596860778331756,1.110384440422058,1.903943169116974,0.8349202752113342,1.3556195735931398,1.153093159198761,2.0088776111602784,6.671629226207733,1.3135006189346314,1.0822432160377502,1.4383606195449827,0.8642284750938416,1.4916033267974853,1.7609543323516845,2.3537695765495297,2.737621581554413,1.8915903449058533,0.595994234085083,1.601828157901764,1.2132012009620665,2.7450093507766726,1.8605880022048948,2.5093363881111146,1.541443157196045,0.8262254357337951,1.3135051488876344,2.1432603001594543,2.3860499262809753
15,1.2120145320892335,2.4662754893302914,3.0156788110733035,2.504046654701233,1.5700273752212524,1.4470578908920289,1.0392069339752197,2.4026566267013547,1.5746523857116699,2.0915549039840697,1.5083619713783265,1.1796375036239624,1.2085365653038023,1.9394685864448546,0.8687263369560242,0.9587251543998717,1.7232027053833008,1.0353335857391357,0.8988365173339844,2.5159173250198363,2.1195104598999026,9.196860790252686,1.351858878135681,2.215808153152466,1.099580645561218,1.519199728965759,1.3402610659599303,2.377148449420929,6.792867743968963,1.4346289873123168,1.2286001443862913,1.2829266190528867,1.0055675268173216,1.5946762800216674,1.9659364342689514,2.6657774567604062,2.962436318397522,2.0819652557373045,0.6302482962608338,1.8584607362747192,1.3431411981582642,2.9229818344116207,2.095227015018463,2.631944990158081,1.5855224967002868,0.7110779523849486,1.4970072031021118,2.363937962055206,2.772623121738434
16,1.2721921682357786,2.810877692699432,3.397072947025299,2.630389404296875,2.092497730255127,1.7041074514389039,1.1493793368339538,2.6777714490890503,1.8238006472587585,2.382307660579681,1.7672523021697997,1.457998275756836,1.2245972752571106,2.30234432220459,0.9689753293991089,1.313851809501648,1.9813944220542907,1.3934563279151917,1.4880790710449219,2.6414970993995666,2.6289697527885436,9.796860539913178,1.9146883845329283,2.5105717778205867,1.3464915752410889,1.6950768113136292,1.7261536240577697,2.693129599094391,6.819097185134887,1.751658880710602,1.5081960082054138,1.414263129234314,1.3588539004325866,1.4828413009643553,2.20653303861618,2.977712786197662,3.289148557186127,2.3696288108825683,0.9837115287780761,2.1471212625503537,1.7502779960632324,3.007969319820404,2.1125733017921444,2.991831111907959,1.8752261281013487,0.8675691604614257,2.109297430515289,2.6513326287269594,3.0153528213500977
17,1.8449566960334778,3.4022743821144106,3.7048710346221925,3.027152633666992,2.1060431838035583,2.2167178034782404,1.1537121534347534,2.9440947055816653,2.0971606492996213,2.8510934710502625,2.0642633199691773,2.0065703153610226,1.6181004524230955,2.6126092195510866,1.3028534173965454,1.344477903842926,2.329458475112915,1.6856803297996519,1.6452072739601133,3.3823163151741027,3.027252769470215,10.396860659122465,2.1204018950462338,3.112916922569275,1.5937442660331727,2.298490381240845,1.9957524180412292,3.314110803604126,7.427470600605011,1.9032611727714537,1.6565891623497009,1.8504726171493528,1.1610590457916259,2.039877104759216,2.785065388679504,3.324327766895294,3.973765981197357,2.66954151391983,1.3320419073104859,2.8742434978485107,1.8160172343254088,3.65837162733078,2.4450294733047486,3.1696754693984985,1.9841388821601869,1.0024513244628905,2.020068037509918,2.843877065181732,3.743687617778778
18,2.1424205899238586,3.8102928400039673,4.139954507350921,3.535996329784393,2.539980566501617,2.3000373840332027,1.4767844676971436,3.356891059875488,2.5052299737930297,3.303144872188568,2.247564792633056,1.9780329465866089,1.8234710693359375,3.0507702589035035,1.316991937160492,1.6261975407600402,2.687525749206543,1.9520612835884095,1.786813223361969,3.7747848272323608,3.3064169406890866,10.938860738277436,2.6426289200782773,3.3919715881347656,1.7944114208221436,2.3523202538490295,2.2942709803581236,3.689337360858917,7.5218962788581845,2.2495881795883177,2.109511220455169,2.023660159111023,1.1816868782043457,2.3705408811569217,3.1200266361236575,3.6972978949546813,4.615390706062317,3.237157368659973,1.7539101123809815,2.832158100605011,2.1305896639823914,4.0820415973663335,2.978653907775879,3.672501993179321,2.2940512776374815,1.1885770916938783,2.5933442950248717,3.548399031162262,3.9285876512527462
19,2.207073676586151,4.397461831569672,4.544393181800842,3.8486775279045107,2.666240930557251,2.6928025484085083,1.6786367774009705,3.936246514320373,2.989562952518463,3.550006294250488,2.8047784090042116,2.712939643859863,2.4355458974838253,3.52276428937912,1.7444302797317506,1.9369149446487426,2.8587641000747683,2.0641063332557676,1.9361296772956849,4.245970833301544,3.9288843750953673,11.154910075664521,3.0502965927124026,3.8770630598068236,2.133874440193176,3.192440557479858,2.5332279920578,4.421175634860992,7.361151158809661,2.9105908036231996,2.3755449175834658,2.1841049194335938,1.7047051906585693,2.7190335392951965,3.617704141139984,4.164962315559387,4.672926223278045,3.2382119417190554,1.8172786712646483,3.462640297412872,2.3432293176651,4.67429074048996,3.198837804794312,4.095714569091797,2.7353809595108034,1.865879201889038,2.7510966539382933,3.804905748367309,4.55597311258316
20,2.6619483232498165,4.861562347412109,5.15276358127594,4.264837372303008,3.3168083190917965,2.822148823738098,1.9761439323425292,4.493833720684051,3.3354734659194945,3.9455495953559874,2.7653066754341125,2.892177927494049,2.6499730229377745,3.8345590353012082,1.976213490962982,2.6594756603240968,3.306953799724579,2.453108537197113,2.2945035576820376,4.794427847862243,4.585395312309265,11.902443265914917,3.261931836605072,4.446588134765625,2.489061176776886,3.381652665138245,3.2940112948417664,4.639544737339019,7.625083994865417,3.3656630992889403,2.9146238207817077,2.6430583119392397,1.9208943128585814,2.9920847415924072,3.8164279460906982,4.844712340831756,5.12793116569519,4.040043807029724,1.6816578507423399,3.756313383579254,2.4994043469429013,5.321436059474944,3.795811080932617,4.680265045166015,2.875726497173309,2.1279207706451415,3.2694868683815,4.483698105812072,4.979911112785339
