round,client_13_removal_criterion,client_8_removal_criterion,client_2_removal_criterion,client_18_removal_criterion,client_10_removal_criterion,client_0_removal_criterion,client_11_removal_criterion,client_6_removal_criterion,client_16_removal_criterion,client_3_removal_criterion,client_17_removal_criterion,client_4_removal_criterion,client_12_removal_criterion,client_9_removal_criterion,client_5_removal_criterion,client_14_removal_criterion,client_15_removal_criterion,client_1_removal_criterion,client_7_removal_criterion
11,0.5548713088035584,0.7470553666353226,1.359095111489296,0.33695527613162995,0.9498570531606674,6.141535130143166,0.6189220577478408,1.6402969926595687,0.40042482018470765,1.4278845638036728,1.056963965296745,0.9796089798212051,1.1796353310346603,1.1125747233629224,0.3782913893461227,1.0347975105047227,0.9421644598245621,6.7681057035923,1.517397978901863
12,0.5896759510040284,0.8358566761016846,1.4445734322071075,0.34951174855232237,1.0596110999584196,6.569797855615616,0.7617025434970855,1.7337900280952454,0.4782493472099304,1.5901444494724273,1.0650162696838377,0.9935377359390258,1.3820713520050047,1.1825317323207856,0.38572733402252196,1.068014430999756,0.9414201259613036,7.36810576915741,1.5701625704765318
13,0.5567799448966979,0.8547512054443359,1.549754023551941,0.3628860116004944,1.0514534413814545,7.233519870042801,0.7842548251152038,1.7968937277793884,0.5099624454975127,1.7036910831928254,1.2069230020046233,1.1310436010360716,1.3068005323410035,1.3006136357784273,0.412838476896286,1.1356004297733306,1.1570594012737274,7.968105590343475,1.6148382723331451
14,0.6430497229099273,0.8725150406360627,1.6377372384071351,0.5514647483825683,1.1371203184127807,7.699171328544616,0.8129266262054443,1.9512709498405456,0.47756218910217285,1.836694288253784,1.1588628947734831,1.1580686450004576,1.4188461959362029,1.2572911560535431,0.4226797640323639,1.1767015516757964,1.099521631002426,8.568105781078337,1.8345553278923035
15,0.7096763074398041,1.001077616214752,1.8482327520847321,0.5902156710624694,1.2053852915763854,8.364020806550979,0.8597936987876892,2.1874442994594574,0.538314950466156,1.9725098133087158,1.3103296756744385,1.252602458000183,1.505033266544342,1.3793822169303895,0.4131367921829223,1.3402611672878264,1.3412119209766387,9.06141226887703,1.8916280567646027
16,0.7708514928817749,0.9754620909690856,1.978659826517105,0.6615709662437439,1.2343426406383513,8.955745434761049,1.076686006784439,2.281571239233017,0.5111622929573059,2.040768367052078,1.3780787467956543,1.4414520919322966,1.6670080482959746,1.4662376284599306,0.52170170545578,1.3973857522010804,1.4361479878425598,9.712218677997589,2.0887238800525663
17,0.7717426598072051,1.0830794930458068,2.09476301074028,0.7436574518680572,1.2752141773700714,9.55652756690979,0.9617457449436188,2.42781713604927,0.6066289722919463,2.2044966757297515,1.4138030111789701,1.3297206044197083,1.651499205827713,1.5859726011753081,0.479214072227478,1.3777624487876892,1.4798753201961519,10.083046627044677,2.1245689630508426
18,0.8052691280841827,1.027610296010971,2.202119827270508,0.8484900534152984,1.3493754863739014,10.148618733882904,1.0934269845485685,2.538710868358612,0.658220624923706,2.4807233691215513,1.3900667786598204,1.3475428462028503,1.7959098398685454,1.5728529810905456,0.6180385410785674,1.4628314673900602,1.5962166845798493,10.789756822586059,2.325537514686584
19,0.8258816957473755,1.245580941438675,2.27813401222229,0.8398004055023194,1.3582545459270476,10.752347475290298,1.1711913168430328,2.624496114253998,0.6271093726158142,2.60766162276268,1.3874792397022246,1.513400387763977,1.8089067637920377,1.8298168897628784,0.5902712404727936,1.6754112422466276,1.7120954751968382,11.179721802473068,2.407431203126907
20,0.8359575927257538,1.2106492042541503,2.539900952577591,0.9691793024539946,1.4605323851108551,11.351974773406981,1.380467391014099,2.905204105377197,0.7479544401168823,2.8246892571449282,1.3881921529769896,1.6655174016952514,1.8098281025886536,1.9759775400161743,0.5976184785366058,1.6591728746891021,1.7835373818874358,11.766760337352752,2.606889432668686
21,1.0352472782135012,1.4334332406520844,2.6692923069000245,1.0337906897068023,1.6174879491329193,11.95197458267212,1.259376263618469,3.037403255701065,0.9544663667678833,2.976737856864929,1.6800969064235687,1.787318843603134,2.1257192015647886,1.9734386682510374,0.8295200586318969,1.8830073416233062,1.9682207524776458,12.37152647972107,2.7088083565235137
22,1.0533901035785675,1.480504947900772,2.800298756361008,0.9773168742656707,1.7974103689193726,12.551974523067473,1.328326517343521,3.2202931523323057,1.047187942266464,3.1288440227508545,1.5779575109481812,1.8147299647331236,2.2818248867988586,2.038698822259903,0.8076247215270996,1.9236793339252471,2.0233688354492188,12.564003539085387,2.814737844467163
23,1.2013044774532318,1.7494491815567015,2.8956358969211577,1.1637048661708833,1.8657958269119264,13.1519744515419,1.5630390286445617,3.5159953355789186,1.2558712899684907,3.3342434406280517,1.969811499118805,2.017638939619064,2.369355762004852,2.379191941022873,0.8682018280029297,1.8600473165512084,2.2746933639049525,13.238980686664581,3.123768162727356
24,1.4031077802181244,1.5982204854488373,3.2785330951213836,1.211640053987503,2.0769727766513824,13.75197450518608,1.583792382478714,3.6661954224109645,1.1253512442111968,3.685863810777664,2.091538089513779,1.9960478961467742,2.5103471934795376,2.444188302755356,1.1587714731693268,2.1808503985404966,2.3325078547000886,13.689093083143234,3.4105131924152374
25,1.39277885556221,1.951842838525772,3.2437071681022642,1.283804440498352,1.9489274621009827,14.351974374055862,1.885021024942398,3.707901418209076,1.1390599370002745,3.9425948441028593,2.070927876234055,1.9840020477771758,2.7803857386112214,2.592993980646133,1.1982245802879334,2.173389732837677,2.6491911590099337,14.16796515583992,3.4259763062000275
26,1.4043960392475128,1.7910158574581145,3.4938298821449276,1.3857398986816405,2.2005215883255005,14.951974433660506,2.045057767629623,3.980735659599304,1.5389131307601929,4.018888002634048,2.5096292793750763,2.2696003019809723,2.7773349583148956,2.7712070405483242,1.5646533846855162,2.5060065627098083,2.4765234649181367,14.844406443834306,3.752321809530258
